measurement_time,date,estimated_sold_seats,available_seats,sellable_capacity,source
2026-06-05 12:00:00,2026-06-05,6.0,342,348,manual
2026-06-07 12:00:00,2026-06-07,8.0,340,348,manual
2026-06-08 12:00:00,2026-06-08,10.0,338,348,manual
2026-06-11 12:00:00,2026-06-11,12.0,336,348,manual
2026-06-12 12:00:00,2026-06-12,15.0,333,348,manual
2026-06-15 12:00:00,2026-06-15,17.0,331,348,manual
2026-06-16 12:00:00,2026-06-16,19.0,329,348,manual
2026-06-18 12:00:00,2026-06-18,23.0,325,348,manual
2026-06-23 12:00:00,2026-06-23,25.0,323,348,manual
2026-06-23 20:51:08,2026-06-23,25.0,323,348,automatic
2026-06-23 20:55:32,2026-06-23,25.0,323,348,automatic
2026-06-23 21:00:22,2026-06-23,25.0,323,348,automatic
2026-06-23 21:04:11,2026-06-23,25.0,323,348,automatic
2026-06-23 21:05:58,2026-06-23,25.0,323,348,automatic
2026-06-23 21:08:02,2026-06-23,25.0,323,348,automatic
2026-06-23 21:15:14,2026-06-23,25.0,323,348,automatic
2026-06-23 21:53:19,2026-06-23,25.0,323,348,automatic
2026-06-23 22:00:16,2026-06-23,25.0,323,348,automatic
2026-06-23 22:06:52,2026-06-23,25.0,323,348,automatic
2026-06-23 22:11:55,2026-06-23,25.0,323,348,automatic
2026-06-23 22:56:41,2026-06-23,25.0,323,348,automatic
2026-06-24 09:27:16,2026-06-24,25.0,323,348,automatic
2026-06-24 11:18:17,2026-06-24,25.0,323,348,automatic
2026-06-24 16:05:59,2026-06-24,25.0,323,348,automatic
2026-06-24 18:03:33,2026-06-24,26.0,322,348,automatic
2026-06-24 18:06:57,2026-06-24,26.0,322,348,automatic
2026-06-25 11:00:02,2026-06-25,32.0,316,348,automatic
2026-06-25 11:18:04,2026-06-25,32.0,316,348,automatic
2026-06-25 12:32:25,2026-06-25,32.0,316,348,automatic
